proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,proba_class_5,proba_class_6,proba_class_7,proba_class_8,proba_class_9,proba_class_10,proba_class_11,target
0.001255,0.181096,0.529904,0.222083,0.063572,0.002091,0.001722,0.278333,0.567,0.11712,0.034447,0.001378,2
0.000849,0.185059,0.541171,0.205008,0.067487,0.000424,0.001049,0.281119,0.565734,0.11993,0.031818,0.00035,2
0.002161,0.203111,0.538029,0.199222,0.055748,0.001729,0.001065,0.267401,0.583807,0.111861,0.034091,0.001776,2
0.001031,0.218557,0.418557,0.263402,0.097423,0.001031,0.000835,0.234558,0.605593,0.117696,0.038397,0.002922,2
0.004115,0.203018,0.484682,0.234568,0.072702,0.000914,0.000749,0.246067,0.58427,0.131835,0.037079,0.0,2
0.00403,0.203314,0.516346,0.206897,0.068966,0.000448,0.002943,0.240986,0.595659,0.128403,0.031273,0.000736,2
0.007317,0.220325,0.48252,0.20935,0.079675,0.000813,0.010749,0.275109,0.554249,0.121935,0.03527,0.002687,2
0.003953,0.203777,0.534475,0.195872,0.061045,0.000878,0.002164,0.252795,0.593942,0.117202,0.032816,0.001082,2
0.002332,0.19916,0.478078,0.236007,0.082556,0.001866,0.001144,0.250191,0.59344,0.120519,0.033944,0.000763,2
0.002923,0.20945,0.444715,0.242572,0.09888,0.001461,0.001594,0.249502,0.597449,0.115584,0.033878,0.001993,2
0.001059,0.226575,0.421387,0.24775,0.101641,0.001588,0.00086,0.218831,0.61307,0.127257,0.038263,0.00172,2
0.001907,0.214967,0.440896,0.255958,0.084843,0.00143,0.001561,0.252829,0.599298,0.111978,0.032384,0.001951,2
0.020701,0.259554,0.469347,0.181927,0.066879,0.001592,0.016793,0.294369,0.540994,0.116233,0.030622,0.000988,2
0.015669,0.241864,0.470068,0.200884,0.070309,0.001205,0.011944,0.28633,0.548441,0.116788,0.034174,0.002322,2
0.002503,0.213213,0.435435,0.251251,0.096597,0.001001,0.000407,0.237979,0.599837,0.120619,0.039935,0.001222,2
0.002057,0.203209,0.497738,0.224188,0.071987,0.000823,0.006796,0.276249,0.562012,0.119606,0.035338,0.0,2
0.0,0.085661,0.361266,0.391993,0.155493,0.005587,0.002185,0.088857,0.296431,0.419519,0.188638,0.00437,2
0.0,0.183526,0.456647,0.24422,0.111272,0.004335,0.006482,0.08957,0.517384,0.26046,0.123748,0.002357,2
0.000567,0.253968,0.518141,0.154195,0.069728,0.003401,0.003839,0.095969,0.59357,0.21737,0.086852,0.002399,2
0.001361,0.33787,0.507315,0.112283,0.039469,0.001701,0.032638,0.188274,0.629193,0.110607,0.039287,0.0,2
0.002988,0.075697,0.334661,0.393426,0.180279,0.012948,0.003103,0.064391,0.259116,0.456943,0.212568,0.003879,2
0.000755,0.262085,0.504909,0.179381,0.05136,0.001511,0.00527,0.118248,0.612648,0.20751,0.055995,0.000329,2
0.000928,0.248609,0.507885,0.170223,0.070037,0.002319,0.003995,0.080703,0.546145,0.293648,0.073911,0.001598,2
0.000419,0.26005,0.473199,0.197655,0.065327,0.00335,0.004356,0.093285,0.553176,0.279129,0.068603,0.001452,2
0.000476,0.25,0.526667,0.154286,0.067143,0.001429,0.002457,0.08231,0.561835,0.279279,0.072891,0.001229,2
0.0004,0.29,0.45,0.1988,0.0588,0.002,0.004528,0.096482,0.58551,0.249042,0.064089,0.000348,2
0.0,0.110024,0.409943,0.321923,0.149959,0.00815,0.003906,0.095052,0.391927,0.335938,0.172526,0.000651,2
0.0,0.148659,0.419157,0.295785,0.133333,0.003065,0.003094,0.094678,0.451114,0.30755,0.139851,0.003713,2
0.002295,0.345246,0.513443,0.098361,0.039016,0.001639,0.042874,0.216736,0.591366,0.112951,0.034891,0.001183,2
0.002601,0.20026,0.522757,0.173602,0.09883,0.001951,0.00973,0.098378,0.594595,0.2,0.096757,0.000541,2
0.0,0.240685,0.487794,0.194004,0.076231,0.001285,0.004833,0.090706,0.551673,0.281413,0.068773,0.002602,2
0.000617,0.219482,0.523428,0.173243,0.077682,0.005549,0.006736,0.1,0.59171,0.209845,0.087565,0.004145,2
0.001049,0.24279,0.511799,0.171998,0.070792,0.001573,0.002686,0.102954,0.594002,0.216204,0.07923,0.004924,2
0.0,0.234875,0.517539,0.175394,0.069649,0.002542,0.003047,0.08707,0.589029,0.23596,0.083152,0.001741,2
0.000984,0.244466,0.521889,0.157403,0.072307,0.002951,0.003378,0.087838,0.570524,0.259291,0.076436,0.002534,2
0.001991,0.376576,0.497014,0.087923,0.035501,0.000995,0.03777,0.221523,0.607314,0.098022,0.035072,0.0003,2
0.000593,0.238434,0.520166,0.163108,0.076512,0.001186,0.002006,0.095787,0.581244,0.232197,0.08676,0.002006,2
0.001567,0.290361,0.454154,0.198668,0.054859,0.000392,0.004432,0.106035,0.599727,0.227753,0.060689,0.001364,2
0.001944,0.348235,0.511824,0.102041,0.035309,0.000648,0.039601,0.215606,0.585802,0.118803,0.039601,0.000587,2
0.000336,0.357888,0.518668,0.084427,0.038009,0.000673,0.0322,0.207042,0.617815,0.105327,0.037617,0.0,2
0.001733,0.101386,0.37695,0.368284,0.149047,0.0026,0.001379,0.090345,0.334483,0.390345,0.175862,0.007586,2
0.000372,0.244329,0.535515,0.166233,0.05132,0.002231,0.00455,0.137472,0.604485,0.198895,0.053624,0.000975,2
0.001369,0.197125,0.490075,0.201916,0.101985,0.007529,0.008455,0.095829,0.547914,0.239008,0.106539,0.002255,2
0.001638,0.27846,0.457412,0.197789,0.063473,0.001229,0.004281,0.08705,0.581877,0.258651,0.067785,0.000357,2
0.000355,0.309684,0.506208,0.141185,0.040795,0.001774,0.016859,0.163597,0.626288,0.148923,0.04246,0.001873,2
0.001754,0.224123,0.502632,0.200877,0.069737,0.000877,0.004189,0.094821,0.543412,0.284082,0.071973,0.001523,2
0.001036,0.328961,0.509147,0.114601,0.044529,0.001726,0.027548,0.180594,0.633609,0.118151,0.039486,0.000612,2
0.000701,0.3178,0.502102,0.133847,0.044499,0.001051,0.020698,0.173926,0.637627,0.125425,0.041705,0.000618,2
0.00036,0.273514,0.537658,0.143063,0.043964,0.001441,0.007581,0.168667,0.610234,0.162666,0.050537,0.000316,2
0.000384,0.269689,0.484441,0.191318,0.051095,0.003073,0.005376,0.112231,0.611559,0.211694,0.057796,0.001344,2
0.000366,0.251646,0.536576,0.157644,0.053036,0.000732,0.007031,0.168105,0.592841,0.177373,0.053052,0.001598,2
0.0,0.227477,0.515315,0.18964,0.066216,0.001351,0.003498,0.085115,0.537505,0.303537,0.067625,0.002721,2
0.001089,0.252723,0.521242,0.152505,0.069717,0.002723,0.004171,0.10519,0.605653,0.205746,0.076923,0.002317,2
0.002947,0.310934,0.506926,0.136163,0.041261,0.001768,0.02831,0.222702,0.569156,0.135886,0.042869,0.001078,2
0.002538,0.397843,0.479378,0.083439,0.036802,0.0,0.048182,0.249856,0.53693,0.129544,0.034622,0.000866,2
0.001164,0.192957,0.555588,0.194121,0.055297,0.000873,0.021733,0.203917,0.57553,0.150523,0.046955,0.001342,2
0.001462,0.238959,0.544604,0.170518,0.043288,0.00117,0.027696,0.217532,0.572466,0.136058,0.044367,0.001882,2
0.00689,0.389754,0.462552,0.105752,0.034152,0.000899,0.032469,0.218554,0.563438,0.144611,0.040382,0.000546,2
0.006968,0.386852,0.466828,0.102393,0.03605,0.000909,0.031301,0.216914,0.559583,0.149643,0.041735,0.000824,2
0.006222,0.359704,0.502519,0.093926,0.03763,0.0,0.038503,0.231833,0.590022,0.10602,0.033623,0.0,2
0.003426,0.41171,0.45967,0.092806,0.032389,0.0,0.040498,0.256868,0.543755,0.120646,0.03795,0.000283,2
0.008429,0.384708,0.466887,0.104455,0.034919,0.000602,0.035734,0.21222,0.556465,0.148663,0.045827,0.001091,2
0.006851,0.38457,0.479595,0.090855,0.038129,0.0,0.036967,0.224518,0.580049,0.122044,0.036423,0.0,2
0.002038,0.209607,0.553712,0.179622,0.054148,0.000873,0.026506,0.203748,0.569478,0.149933,0.048996,0.001339,2
0.004426,0.331366,0.517262,0.107111,0.038654,0.00118,0.029483,0.235055,0.571004,0.120368,0.043278,0.000811,2
0.003508,0.230342,0.545455,0.180064,0.039462,0.001169,0.026506,0.209639,0.585542,0.13253,0.044444,0.001339,2
